theta0 theta1 theta2 fc_t_min
0.0523599 -0.20944 0.471239 1.15343
0.0523599 -0.20944 0.523599 1.11015
0.0523599 -0.20944 0.575959 1.23319
0.0523599 -0.20944 0.628319 1.12364
0.0523599 -0.20944 0.680678 0.937029
0.0523599 -0.20944 0.733038 0.901366
0.0523599 -0.20944 0.785398 0.903774
0.0523599 -0.20944 0.837758 0.888785
0.0523599 -0.20944 0.890118 0.978067
0.0523599 -0.20944 0.942478 0.78429
0.0523599 -0.20944 0.994838 0.858409
0.0523599 -0.20944 1.0472 0.86175
0.0523599 -0.261799 0 1.16501
0.0523599 -0.261799 0.0523599 1.31627
0.0523599 -0.261799 0.10472 1.00653
0.0523599 -0.261799 0.15708 1.25767
0.0523599 -0.261799 0.20944 1.26746
0.0523599 -0.261799 0.261799 1.18407
0.0523599 -0.261799 0.314159 1.1149
0.0523599 -0.261799 0.366519 1.06525
0.0523599 -0.261799 0.418879 1.02641
0.0523599 -0.261799 0.471239 1.06888
0.0523599 -0.261799 0.523599 0.968908
0.0523599 -0.261799 0.575959 0.944192
0.0523599 -0.261799 0.628319 1.11351
0.0523599 -0.261799 0.680678 0.946027
0.0523599 -0.261799 0.733038 0.882572
0.0523599 -0.261799 0.785398 1.00533
0.0523599 -0.261799 0.837758 0.982962
0.0523599 -0.261799 0.890118 0.702794
0.0523599 -0.261799 0.942478 0.777173
0.0523599 -0.261799 0.994838 0.812336
0.0523599 -0.261799 1.0472 0.716463
0.0523599 -0.314159 0 1.17014
0.0523599 -0.314159 0.0523599 1.20391
0.0523599 -0.314159 0.10472 1.04495
0.0523599 -0.314159 0.15708 0.95929
0.0523599 -0.314159 0.20944 0.974041
0.0523599 -0.314159 0.261799 1.02236
0.0523599 -0.314159 0.314159 1.18862
0.0523599 -0.314159 0.366519 1.0746
0.0523599 -0.314159 0.418879 1.03874
0.0523599 -0.314159 0.471239 0.98126
0.0523599 -0.314159 0.523599 1.20392
0.0523599 -0.314159 0.575959 0.942345
0.0523599 -0.314159 0.628319 0.856229
0.0523599 -0.314159 0.680678 1.15894
0.0523599 -0.314159 0.733038 1.1617
0.0523599 -0.314159 0.785398 0.976153
0.0523599 -0.314159 0.837758 0.651343
0.0523599 -0.314159 0.890118 1.02075
0.0523599 -0.314159 0.942478 0.577457
0.0523599 -0.314159 0.994838 0.660157
0.0523599 -0.314159 1.0472 0.728859
0.0523599 -0.366519 0 0.870804
0.0523599 -0.366519 0.0523599 1.11255
0.0523599 -0.366519 0.10472 1.26499
0.0523599 -0.366519 0.15708 0.953017
0.0523599 -0.366519 0.20944 0.951717
0.0523599 -0.366519 0.261799 0.99095
0.0523599 -0.366519 0.314159 1.11014
0.0523599 -0.366519 0.366519 1.0934
0.0523599 -0.366519 0.418879 0.831134
0.0523599 -0.366519 0.471239 0.862612
0.0523599 -0.366519 0.523599 0.939592
0.0523599 -0.366519 0.575959 0.921228
0.0523599 -0.366519 0.628319 0.864039
0.0523599 -0.366519 0.680678 1.13256
0.0523599 -0.366519 0.733038 1.13497
0.0523599 -0.366519 0.785398 0.970435
0.0523599 -0.366519 0.837758 0.985077
0.0523599 -0.366519 0.890118 0.98896
0.0523599 -0.366519 0.942478 0.628425
0.0523599 -0.366519 0.994838 0.681628
0.0523599 -0.366519 1.0472 0.683852
0.0523599 -0.418879 0 1.14128
0.0523599 -0.418879 0.0523599 1.28383
0.0523599 -0.418879 0.10472 1.119
0.0523599 -0.418879 0.15708 1.15597
0.0523599 -0.418879 0.20944 0.993974
