theta0 theta1 theta2 fc_t_min
-0.942478 0.20944 -0.418879 0.00404742
-0.942478 0.20944 -0.314159 0.480786
-0.942478 0.20944 -0.20944 0.73279
-0.942478 0.20944 -0.10472 0.791545
-0.942478 0.20944 0 0.839786
-0.942478 0.20944 0.10472 0.871046
-0.942478 0.20944 0.20944 0.91857
-0.942478 0.20944 0.314159 0.922695
-0.942478 0.20944 0.418879 0.734433
-0.942478 0.20944 0.523599 0.69616
-0.942478 0.20944 0.628319 0.482702
-0.942478 0.20944 0.733038 0.370004
-0.942478 0.20944 0.837758 0.14563
-0.942478 0.20944 0.942478 0
